epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.6787,0.87662,2.15471,1.0635,0.98435,0.45511,0.69824,0.53919,0.70497,2.29665,0.97195,0.000544981,0.000544981,0.000544981
2,36.6021,0.94356,1.48621,1.10207,0.5981,0.60897,0.6753,0.45032,1.02343,2.27661,1.1763,0.00107885,0.00107885,0.00107885
3,52.5867,0.98516,1.40648,1.14318,0.88735,0.72059,0.85977,0.60405,0.87635,1.65422,1.11393,0.00159072,0.00159072,0.00159072
4,68.2744,1.01677,1.2183,1.13946,0.64964,0.75189,0.63815,0.47474,1.0085,2.119,1.28138,0.00156798,0.00156798,0.00156798
5,83.8639,0.97792,1.11975,1.12808,0.88138,0.81755,0.91575,0.62589,0.8571,1.06867,1.10202,0.00153497,0.00153497,0.00153497
6,99.5242,0.94478,0.94392,1.09804,0.82699,0.50245,0.5196,0.36093,0.89979,1.6959,1.19601,0.00150197,0.00150197,0.00150197
7,115.248,0.9241,0.85036,1.09621,0.79081,0.80224,0.86418,0.61027,0.7543,0.89821,0.99344,0.00146896,0.00146896,0.00146896
8,132.148,0.91343,0.83232,1.10055,0.8921,0.96491,0.98295,0.72145,0.71245,0.79112,0.97888,0.00143595,0.00143595,0.00143595
9,148.485,0.83813,0.73532,1.05041,0.99395,0.91014,0.96776,0.67485,0.64452,0.58408,0.95795,0.00140295,0.00140295,0.00140295
10,164.341,0.88049,0.71273,1.08227,0.93515,1,0.98538,0.72955,0.62783,0.5333,0.95134,0.00136994,0.00136994,0.00136994
11,180.235,0.84088,0.68974,1.06563,0.93722,0.98271,0.97823,0.73591,0.65016,0.55256,0.98258,0.00133693,0.00133693,0.00133693
12,196.19,0.84007,0.68623,1.04344,0.94766,0.98529,0.99087,0.74696,0.62671,0.49003,0.95717,0.00130393,0.00130393,0.00130393
13,212.084,0.85042,0.65946,1.06779,0.85527,0.93564,0.95545,0.71041,0.65095,0.51859,0.98704,0.00127092,0.00127092,0.00127092
14,227.935,0.79302,0.62211,1.03714,0.8917,0.98831,0.98367,0.75046,0.54569,0.42783,0.95042,0.00123791,0.00123791,0.00123791
15,243.796,0.83536,0.63965,1.065,0.97302,1,0.995,0.80485,0.58745,0.46166,0.94796,0.00120491,0.00120491,0.00120491
16,261.01,0.76656,0.57341,1.02737,0.91411,0.95833,0.96142,0.77809,0.5218,0.4166,0.92165,0.0011719,0.0011719,0.0011719
17,277.754,0.7769,0.5857,1.03542,0.88668,0.99478,0.97858,0.72779,0.59552,0.41065,0.93488,0.00113889,0.00113889,0.00113889
18,293.624,0.75623,0.55363,1.03227,0.8977,1,0.97686,0.76171,0.56394,0.43262,0.91798,0.00110589,0.00110589,0.00110589
19,309.452,0.78489,0.56482,1.03078,0.96759,0.95833,0.99192,0.80045,0.4918,0.38935,0.91677,0.00107288,0.00107288,0.00107288
20,325.31,0.76316,0.564,1.02408,0.95276,0.98083,0.98885,0.77427,0.52428,0.39996,0.91881,0.00103987,0.00103987,0.00103987
21,341.38,0.77031,0.56276,1.02634,0.9997,0.99616,0.995,0.81534,0.51943,0.40364,0.92058,0.00100687,0.00100687,0.00100687
22,357.279,0.74462,0.52844,1.02243,0.99074,0.99441,0.995,0.7959,0.557,0.37218,0.9325,0.000973861,0.000973861,0.000973861
23,373.162,0.73613,0.52428,1.0212,0.89531,0.99894,0.96764,0.74243,0.53581,0.36998,0.92749,0.000940855,0.000940855,0.000940855
24,388.959,0.71861,0.509,1.0245,0.99377,0.99248,0.995,0.78391,0.49236,0.34867,0.92759,0.000907848,0.000907848,0.000907848
25,404.735,0.73536,0.50892,1.02498,0.9729,1,0.995,0.79012,0.47455,0.32886,0.91998,0.000874842,0.000874842,0.000874842
26,420.605,0.73877,0.50781,1.02103,0.91209,1,0.98595,0.77512,0.50977,0.31986,0.91992,0.000841835,0.000841835,0.000841835
27,436.569,0.73874,0.49671,1.01973,0.98725,0.95833,0.98929,0.80195,0.45198,0.31554,0.90095,0.000808828,0.000808828,0.000808828
28,452.337,0.72817,0.50712,1.01635,0.98596,0.98529,0.99419,0.77676,0.51088,0.35348,0.92492,0.000775822,0.000775822,0.000775822
29,468.118,0.68449,0.47251,0.99119,0.99601,0.98877,0.995,0.79421,0.44967,0.30584,0.89566,0.000742815,0.000742815,0.000742815
30,484.198,0.69607,0.47175,1.01407,0.91788,1,0.98595,0.76039,0.48495,0.31802,0.91373,0.000709809,0.000709809,0.000709809
31,500.145,0.71039,0.47859,0.99603,0.94668,1,0.995,0.78552,0.45084,0.31623,0.90374,0.000676802,0.000676802,0.000676802
32,515.891,0.68095,0.46527,0.99699,0.95262,1,0.99192,0.78075,0.45893,0.29965,0.89952,0.000643795,0.000643795,0.000643795
33,531.646,0.71137,0.47557,1.01428,0.98633,1,0.995,0.8003,0.46365,0.30491,0.8894,0.000610789,0.000610789,0.000610789
34,547.752,0.69645,0.46694,1.00801,0.98521,0.95833,0.987,0.77473,0.47658,0.30608,0.90437,0.000577782,0.000577782,0.000577782
35,564.643,0.68725,0.46952,0.99843,0.91789,0.92255,0.98085,0.77403,0.42003,0.28284,0.89632,0.000544776,0.000544776,0.000544776
36,581.949,0.67144,0.44281,0.98816,0.95103,1,0.99192,0.79613,0.43711,0.28961,0.89621,0.000511769,0.000511769,0.000511769
37,598.605,0.64651,0.44304,0.98651,0.96969,0.95833,0.98929,0.77765,0.45348,0.27974,0.89663,0.000478762,0.000478762,0.000478762
38,615.265,0.67068,0.45054,0.99084,0.86547,0.99716,0.97234,0.7767,0.45243,0.30543,0.90879,0.000445756,0.000445756,0.000445756
39,631.334,0.64671,0.42754,0.99888,0.97198,0.95833,0.98929,0.80016,0.42967,0.3066,0.89783,0.000412749,0.000412749,0.000412749
40,647.459,0.63657,0.41903,0.99985,0.95647,0.9999,0.98885,0.80433,0.49551,0.28346,0.90434,0.000379743,0.000379743,0.000379743
41,689.227,0.49679,0.30935,0.87735,0.95428,1,0.98885,0.78537,0.4594,0.28318,0.89946,0.000346736,0.000346736,0.000346736
42,705.344,0.50451,0.31835,0.87801,0.95663,1,0.99192,0.81257,0.44232,0.26522,0.88504,0.000313729,0.000313729,0.000313729
43,721.328,0.48477,0.30021,0.88072,0.99431,1,0.995,0.81089,0.41146,0.26819,0.88292,0.000280723,0.000280723,0.000280723
44,737.425,0.48041,0.29242,0.8701,0.99428,1,0.995,0.79742,0.40634,0.24648,0.88706,0.000247716,0.000247716,0.000247716
45,753.41,0.46954,0.28536,0.86864,0.99415,1,0.995,0.79041,0.39847,0.25069,0.8833,0.00021471,0.00021471,0.00021471
46,770.206,0.47024,0.27985,0.86614,0.99502,1,0.995,0.8028,0.42293,0.25088,0.88739,0.000181703,0.000181703,0.000181703
47,786.75,0.45674,0.2771,0.85814,0.99488,1,0.995,0.81593,0.40951,0.22617,0.88605,0.000148696,0.000148696,0.000148696
48,802.686,0.44639,0.26656,0.85294,0.99114,1,0.995,0.82798,0.41765,0.23394,0.88574,0.00011569,0.00011569,0.00011569
49,818.842,0.43746,0.26662,0.85125,0.99461,1,0.995,0.82108,0.40888,0.22216,0.88253,8.26832e-05,8.26832e-05,8.26832e-05
50,835.182,0.43708,0.26338,0.84451,0.99432,1,0.995,0.82338,0.41128,0.23089,0.88233,4.96766e-05,4.96766e-05,4.96766e-05
